invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S33174400010,2016-07-01,9001,Cedar Ridge Vineyards,1441 Marak Rd NW,Swisher,52338.0,POINT (-91.67737 41.8321),52.0,Johnson,1012210.0,SINGLE MALT SCOTCH,125.0,"Cedar Ridge Vineyards,LLC",27357,Cedar Ridge Single Malt Single Barrel Select,6,750,27.5,41.25,90,3712.5,67.5,17.83
INV-11928300062,2018-05-07,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240.0,POINT (-91.53046300000001 41.642764),52.0,JOHNSON,1081500.0,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
INV-11935900110,2018-05-07,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E 7th St,Atlantic,50022.0,POINT (-94.990031 41.403856),15.0,CASS,1081500.0,Triple Sec,434.0,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,4,23.04,4.0,1.06
INV-05445500002,2017-06-12,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702.0,POINT (-92.327917 42.459938),7.0,BLACK HAWK,1901200.0,Special Order Items,259.0,Heaven Hill Brands,917914,HA Elijah Craig Cask Barrel Proof,3,750,29.92,44.88,18,807.84,13.5,3.57
INV-02320700006,2016-12-22,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106.0,POINT (-96.37082 42.43407),97.0,WOODBURY,1081100.0,Coffee Liqueurs,370.0,PERNOD RICARD USA,67527,Kahlua Coffee Liqueur,12,1000,14.99,22.49,240,5397.6,240.0,63.4
INV-05690500027,2017-06-23,4291,Fareway Stores #597 / Creston,105 E Adams St,Creston,50801.0,POINT (-94.237509 40.715722),88.0,UNION,1062100.0,Gold Rum,35.0,BACARDI USA INC,43037,Bacardi Gold Rum,12,1000,9.5,14.25,5,71.25,5.0,1.32
INV-17897100064,2019-03-04,4152,Food Land Super Markets,407 W Huron,Missouri Valley,51555.0,POINT (-95.899346 41.557404),43.0,HARRISON,1062100.0,Gold Rum,434.0,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,2,13.26,2.0,0.52
INV-19169000013,2019-05-06,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14.0,CARROLL,1062100.0,Gold Rum,35.0,BACARDI USA INC,43031,Bacardi Gold Mini,12,500,5.54,8.31,12,99.72,6.0,1.58
S30812800004,2016-02-18,5063,Logan Convenience Store,"735, LOGAN AVE",WATERLOO,50703.0,POINT (-92.337744 42.510453),7.0,Black Hawk,1031100.0,100 PROOF VODKA,255.0,Wilson Daniels Ltd.,37880,Seagrams Extra Smooth,24,200,1.76,2.64,24,63.36,4.8,1.27
INV-23543600014,2019-11-27,3549,Quicker Liquor Store,1414 48th St,Fort Madison,52627.0,POINT (-91.373211 40.62422600000001),56.0,LEE,1081100.0,Coffee Liqueurs,421.0,SAZERAC COMPANY  INC,67586,Kapali Coffee Liqueur,12,750,5.72,8.58,36,237.24,27.0,7.13
INV-18020600032,2019-03-08,3963,Tobacco Hut #14 / Council Bluffs,1925 W Broadway,Council Bluffs,51501.0,POINT (-95.873073 41.261866),78.0,POTTAWATTA,1062100.0,Gold Rum,35.0,BACARDI USA INC,43031,Bacardi Gold Mini,12,500,5.54,8.31,4,33.24,2.0,0.52
S30703100053,2016-02-15,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702.0,POINT (-92.353103 42.456374),7.0,Black Hawk,1081700.0,DISTILLED SPIRITS SPECIALTY,421.0,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.77,768,5199.36,768.0,202.88
INV-17055600010,2019-01-22,2843,CVS Pharmacy #8526 / Cedar Rapids,4116 Center Pointe Rd,Cedar Rapids,52402.0,POINT (-91.665139 42.020729),57.0,LINN,1062100.0,Gold Rum,434.0,LUXCO INC,45246,Paramount Gold Rum,12,750,4.0,6.0,7,42.0,5.25,1.38
INV-00002300008,2016-08-29,5244,The Ox & Wren Spirits and Gifts,708 2nd  AVE  SE,Cresco,52136.0,POINT (-92.106529 43.371131),45.0,HOWARD,1031000.0,American Vodka,297.0,Laird & Company,35917,Five O'clock Vodka,12,1000,4.17,6.26,2,75.12,2.0,0.52
INV-24116900112,2019-12-23,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241.0,POINT (-91.591868 41.682337000000004),52.0,JOHNSON,1092100.0,Imported Distilled Spirit Specialty,353.0,"John Ernest Distillery, Inc.",65750,Maestro Agavero Gold,12,1000,7.0,10.5,48,504.0,48.0,12.68
INV-08495400086,2017-11-07,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001.0,POINT (-90.668138 42.504959),31.0,DUBUQUE,1081100.0,Coffee Liqueurs,65.0,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,4,50.36,4.0,1.06
INV-08632500071,2017-11-14,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402.0,POINT (-91.67969 42.031819),57.0,LINN,1081500.0,Triple Sec,55.0,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,216,691.2,216.0,57.06
S30234800064,2016-01-15,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT (-93.613739 41.60572),77.0,Polk,1081400.0,TRIPLE SEC,434.0,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
